pcd,oslaua,pcon,lsoa11
W1K 3RH,E09000033,E14000639,E01004761
BH9 2LE,E06000058,E14000585,E01015360
M10 0SY,E08000003,E14000807,E01005254
CA110FP,E07000030,E14000877,E01019335
FK2 7ZA,S12000014,S14000028,S01009140
HA3 3BR,E09000015,E14000732,E01002130
N16 5HQ,E09000012,E14000720,E01001812
IV438RA,S12000017,S14000055,S01010676
DA119NY,E07000109,E14000715,E01024276
TQ126BY,E07000045,E14000835,E01020226
HX2 0HF,E08000033,E14000723,E01010930
B61 8SL,E07000234,E14000605,E01032161
TS169BB,E06000004,E14000971,E01012270
TQ138NY,E07000045,E14000623,E01020258
CF313PB,W06000013,W07000073,W01001036
W3  7QP,E09000009,E14000674,E01001381
E15 2AU,E09000031,E14000790,E01004337
SL2 5NT,E06000039,E14000930,E01016457
BN236LG,E07000061,E14000684,E01020951
BN1 1DQ,E06000043,E14000598,E01016969
M9  4WW,E08000003,E14000571,E01005224
BR3 3LW,E09000006,E14000551,E01000770
AB130AX,S12000033,S14000002,S01006516
B5  4HP,E08000025,E14000564,E01033615
PA3 3QU,S12000038,S14000052,S01012224
LN1 1NU,E07000138,E14000792,E01026143
PO211JY,E07000224,E14000576,E01031432
OX8 3YW,E07000181,E14001046,E01028766
BN1 4LT,E06000043,E14000598,E01016964
EC2M5NX,E09000001,E14000639,E01032739
EH3 7WE,S12000036,S14000023,S01008806
M25 5NN,E08000002,E14000612,E01004972
GL560RP,E07000181,E14001046,E01028796
ST7 3DU,E06000049,E14000646,E01018418
RH6 8XB,E07000211,E14000681,E01030588
G77 6XX,S12000011,S14000021,S01008328
LE674QP,E07000134,E14000858,E01025934
YO2 2SH,E06000014,E14001062,E01013355
W2  7NG,E09000033,E14000639,E01033594
NW4 4RA,E09000003,E14000741,E01000241
M34 7DG,E08000008,E14000661,E01005980
LS256BU,E07000169,E14000917,E01027916
WN1 3RR,E08000010,E14001039,E01006306
HR1 4YL,E06000019,E14000743,E01014010
NN1 2DH,E06000062,E14000862,E01032979
OX252PD,E07000177,E14000539,E01028424
M22 2BG,,,
BD209QQ,E08000032,E14000766,E01010710
GL537JX,E07000078,E14000630,E01022117
BD5 7TG,E08000032,E14000587,E01010732
MK464ED,E06000042,E14000821,E01016796
AL4 8AJ,E07000240,E14000749,E01023747
SN119HA,E06000054,E14000860,E01031904
NG228RF,E07000175,E14000924,E01028295
LS290HG,E07000165,E14000928,E01027735
BA6 8YH,E07000187,E14001026,E01029050
BB4 8BL,E07000125,E14000902,E01025361
NG8 2GB,E06000018,E14000867,E01013982
HX2 8WX,E08000033,E14000723,E01010994
W12 8ZH,E09000013,E14000726,E01001941
DL2 2ZT,E06000005,E14000915,E01012334
B28 9JN,E08000025,E14000562,E01009035
HG4 3ER,E07000165,E14000928,E01027666
HD2 2EP,E08000034,E14000756,E01011047
E1  7PD,E09000030,E14000555,E01004325
M35 0TE,E08000004,E14000537,E01005374
B9  4EQ,E08000025,E14000564,E01009200
SE1 4BG,E09000028,E14000553,E01003938
CA263RW,E07000029,E14000647,E01019278
M5  5GX,E08000006,E14000911,E01005723
BB7 4TP,E07000124,E14000894,E01025320
DN370AL,E06000012,E14000643,E01013225
KA198EU,S12000028,S14000006,S01012443
B65 0DB,E08000028,E14000722,E01009932
TA1 3HW,E07000246,E14000988,E01029284
OX3 7NT,E07000178,E14000873,E01028522
HR6 8UJ,E06000019,E14000847,E01014042
NN166UF,E06000061,E14000648,E01027077
M60 2ST,E08000003,E14000807,E01033651
RM8 2NR,E09000002,E14000540,E01000025
RG2 7PG,E06000038,E14000889,E01016372
CH493NG,E08000015,E14001044,E01007268
CV1 9AL,E08000026,E14000651,E01009642
BD200BD,E08000032,E14000766,E01010640
ST169DP,E07000197,E14000965,E01029736
SS9 2DS,E06000033,E14000957,E01015848
SE277DL,E09000022,E14000673,E01003066
SN389BY,E06000030,E14000947,E01015536
WA3 2EA,E08000010,E14000785,E01006343
PL7 1NL,E06000026,E14000950,E01015115
W12 9DQ,E09000013,E14000726,E01001859
OX8 8NY,E07000181,E14001046,E01028804
WS113FW,E07000192,E14000618,E01029397
EH9 1WJ,S12000036,S14000024,S01008610
ST4 7JP,E06000021,E14000972,E01014292
TN288BX,E07000112,E14000704,E01024539
DG9 7FJ,S12000006,S14000013,S01007491
GL518BS,E07000078,E14000630,E01022149
NR205FE,E07000143,E14000816,E01033042
IP313PP,E07000203,E14000613,E01030084
DL3 0YF,E06000005,E14000658,E01012323
SO1 3HJ,E06000045,E14000956,E01017192
LU7 3WE,E06000056,E14000949,E01017575
SO453HH,E07000091,E14000827,E01023028
CV1 3YQ,E08000026,E14000650,E01009651
TA6 4ZX,E07000188,E14000595,E01029112
HR3 5YW,E06000019,E14000743,E01014010
LE676LX,E07000134,E14000858,E01025940
LU7 3BF,E06000056,E14000949,E01017606
KY118NS,S12000047,S14000017,S01009354
SW1X9XA,E09000033,E14000639,E01004748
CM4 0SX,E07000068,E14000594,E01021458
S43 1QT,E07000034,E14000632,E01019534
WC1X8JF,E09000033,E14000639,E01004763
TW9 1EU,E09000027,E14000896,E01003876
NE156LE,E08000021,E14000831,E01008290
GL7 3PA,E07000079,E14000991,E01022215
TN388EA,E07000064,E14000557,E01021097
NG5 7GD,E07000173,E14000710,E01028206
TR274HS,E06000052,E14000616,E01018983
CF6 2AQ,W06000014,W07000080,W01001123
HU3 1LL,E06000010,E14000772,E01012757
CH1 5DF,E06000050,E14000640,E01018309
KY169TF,S12000047,S14000049,S01009736
TQ6 9QT,E07000044,E14001001,E01020152
LS236PL,E08000035,E14000689,E01011707
B21 9EH,E08000025,E14000566,E01009355
TS148JZ,E06000003,E14000820,E01012124
TD5 7LA,S12000026,S14000008,S01012335
CB1 5RE,E07000008,E14000617,E01017943
EX313BH,E07000043,E14000838,E01020107
NG196DX,E07000174,E14000810,E01028228
SO237WH,E07000094,E14001041,E01023274
SW1E5TT,E09000033,E14000639,E01004731
TA1 2LA,E07000246,E14000988,E01029281
KA3 1TD,S12000008,S14000040,S01008009
CA6 5TG,E07000028,E14000877,E01019228
PO376HT,E06000046,E14000762,E01017357
ML118TE,S12000029,S14000042,S01012587
SL1 4YU,E06000039,E14000930,E01016486
CH3 6WA,E06000050,E14000640,E01018327
SO164RF,E06000045,E14000956,E01017211
S18 5QZ,E07000038,E14000843,E01019795
EN9 2RN,E07000072,E14000729,E01021794
